address,url,numdayshrs (lastTXN),dayshrs (lastTXN),numdayshrs (firstTXN),dayshrs (firstTXN),current_eth_portfolio,dropdownMenuBalance,ethATH,usdATH
0x1da8469b048592baa0aa4fa28842a9e63bcfdc8c,https://etherscan.io/address/0x1da8469b048592baa0aa4fa28842a9e63bcfdc8c#analytics,75,days,1370,days,0,4065.68,142.64501701418237,62551.27
0x5ccbb4c11f4ece1e0f45cc19e5a8b534d2d08db9,https://etherscan.io/address/0x5ccbb4c11f4ece1e0f45cc19e5a8b534d2d08db9#analytics,471,days,2135,days,0,12.17,71.79862481585747,26301.99
0x1effb1361921130b9d5259da5fabc91c3efb6234,https://etherscan.io/address/0x1effb1361921130b9d5259da5fabc91c3efb6234#analytics,97,days,2239,days,0,4600.61,14.077421610978073,7939.98
0x8e4bd57f0b7959c01ba1f138c7bfc5f6f3efc6da,https://etherscan.io/address/0x8e4bd57f0b7959c01ba1f138c7bfc5f6f3efc6da#analytics,12,days,1217,days,0,1293.33,13.830831886621594,7765.21
0xf0683aba1f7756f85e861af58fcbac1c2da317fe,https://etherscan.io/address/0xf0683aba1f7756f85e861af58fcbac1c2da317fe#analytics,27,days,1253,days,2,0.64,10.447540671814856,4758.58
0x59739ae7edd03b22aa206ab4412174ae5c49c58a,https://etherscan.io/address/0x59739ae7edd03b22aa206ab4412174ae5c49c58a#analytics,752,days,1232,days,0,33.46,11.695013947209317,5128.38
0x67d9057494e2e1b7361251043843db3c2abf8177,https://etherscan.io/address/0x67d9057494e2e1b7361251043843db3c2abf8177#analytics,24,days,2335,days,0,748.03,34.857128018859115,64066.34
0x65eec2b3dbe259d2c57bb5a659532d69f11ce59c,https://etherscan.io/address/0x65eec2b3dbe259d2c57bb5a659532d69f11ce59c#analytics,12,days,2128,days,0,301.75,30.050983408823825,13387.72
0xf251efb1d2f28204b2cd77ff30e9dc7564adfafd,https://etherscan.io/address/0xf251efb1d2f28204b2cd77ff30e9dc7564adfafd#analytics,6,days,1281,days,0,13102.04,21.90958483100595,16209.02
0xa4bd4e4d2e8c72720839823f6c20f411f7ddb1f1,https://etherscan.io/address/0xa4bd4e4d2e8c72720839823f6c20f411f7ddb1f1#analytics,613,days,1307,days,0,0.86,87.78492073840587,91309.75
0xa512e549d68f15a9f23c1df98970e684301ac1e7,https://etherscan.io/address/0xa512e549d68f15a9f23c1df98970e684301ac1e7#analytics,194,days,1233,days,0,232.45,16.680421897590854,10488.79
0x4dbe965abcb9ebc4c6e9d95aeb631e5b58e70d5b,https://etherscan.io/address/0x4dbe965abcb9ebc4c6e9d95aeb631e5b58e70d5b#analytics,9,hrs,1225,days,81,6055302.21,2,000.5591494024493,4687086.94
0x2d72b01d7bd9be7512e39d824d353e4b824d0569,https://etherscan.io/address/0x2d72b01d7bd9be7512e39d824d353e4b824d0569#analytics,711,days,2295,days,0,45.23,32.96356720543712,12636.25
0x36f88a27e81cd04c8f895e46aa0cf003c689e4f0,https://etherscan.io/address/0x36f88a27e81cd04c8f895e46aa0cf003c689e4f0#analytics,267,days,1238,days,0,0.57,7.285207222385868,2792.58
0x1de6eec2c08830bbec7884f1fc6b502521ae2e54,https://etherscan.io/address/0x1de6eec2c08830bbec7884f1fc6b502521ae2e54#analytics,5,days,1574,days,0,605.19,40.931021520968145,75313.79
0x56dba2a052bc7009b2c5dd1463a8f30b7475893c,https://etherscan.io/address/0x56dba2a052bc7009b2c5dd1463a8f30b7475893c#analytics,700,days,1274,days,0,175.60,113.97057000335028,126782.5
0xe635b15291f31c1ba6c7a6c3d26cbdf6c0f77204,https://etherscan.io/address/0xe635b15291f31c1ba6c7a6c3d26cbdf6c0f77204#analytics,5,hrs,1237,days,0,337.11,6.018849403275333,12777.76
0x9a62f05f0d96d81ce18e1c831bcf02e0a6eba2f9,https://etherscan.io/address/0x9a62f05f0d96d81ce18e1c831bcf02e0a6eba2f9#analytics,8,days,2128,days,0,1655.49,9.735378184847358,10949.25
0x91276636cce43c159f31eb787e46e8d08f56d894,https://etherscan.io/address/0x91276636cce43c159f31eb787e46e8d08f56d894#analytics,131,days,1274,days,0,142.21,18.69247376524083,15760.89
0xe536eca92b17c3886eb8aee0df348efe9f040de7,https://etherscan.io/address/0xe536eca92b17c3886eb8aee0df348efe9f040de7#analytics,3,days,1223,days,0,708.71,14.090639925022797,23253.34
0x94256ed76cb12d4036f10fccc12d221ef495e25b,https://etherscan.io/address/0x94256ed76cb12d4036f10fccc12d221ef495e25b#analytics,2,days,1222,days,0,20982.09,40.32535905801015,179253.72
0x7285502ed0a0ed25f65941e480bda7114492acf9,https://etherscan.io/address/0x7285502ed0a0ed25f65941e480bda7114492acf9#analytics,5,days,1438,days,0,152.99,25.105280884780193,95091.27
0x66235644e6ca122c4436566656893c8acf024f2a,https://etherscan.io/address/0x66235644e6ca122c4436566656893c8acf024f2a#analytics,207,days,2043,days,0,0.00,15.310524256429284,5963.3
0x50a1d8ede640bc5bef89b3bd1082c0b097bfb489,https://etherscan.io/address/0x50a1d8ede640bc5bef89b3bd1082c0b097bfb489#analytics,1112,days,1215,days,0,0.22,10.786671948705047,4125.47
0x5902385d185ab3a38f2a0ca9b244979124962793,https://etherscan.io/address/0x5902385d185ab3a38f2a0ca9b244979124962793#analytics,13,days,1364,days,0,14076.77,58.69741725636371,36639.1
0x5ea7ea516720a8f59c9d245e2e98bca0b6df7441,https://etherscan.io/address/0x5ea7ea516720a8f59c9d245e2e98bca0b6df7441#analytics,185,days,1506,days,3,7570.71,57.670419839758665,81422.98
0xc579e4fdb3fe549e6debce023eba5756895d38ab,https://etherscan.io/address/0xc579e4fdb3fe549e6debce023eba5756895d38ab#analytics,79,days,1225,days,0,238.40,6.1385995701427,2374.16
0xbfd564b164df29fba39ad8f7a34631f860bbeea3,https://etherscan.io/address/0xbfd564b164df29fba39ad8f7a34631f860bbeea3#analytics,892,days,1246,days,0,9.09,8.290104811836628,3295.81
0x9745331c63b6fb5e1e348dfd54bfde5afcde0c24,https://etherscan.io/address/0x9745331c63b6fb5e1e348dfd54bfde5afcde0c24#analytics,11,days,2021,days,0,1699.75,4.1418890132845725,3200.52
0xd6217860307386428315cfe57449a0bcad5383cd,https://etherscan.io/address/0xd6217860307386428315cfe57449a0bcad5383cd#analytics,152,days,1219,days,0,2.29,42.35610317343633,27825.54
0x6378a11d808dde4924b95a9777723c931cf1319c,https://etherscan.io/address/0x6378a11d808dde4924b95a9777723c931cf1319c#analytics,4,days,2143,days,1,34323.59,56.56053949311692,31407.56
0xb018ac68ae2979650f8482d1f92b12d4ad268948,https://etherscan.io/address/0xb018ac68ae2979650f8482d1f92b12d4ad268948#analytics,13,hrs,2121,days,0,2997.66,43.14764441418671,55000.96
0x0d2b70fbb143b501e48cb2dd4650d70da28655df,https://etherscan.io/address/0x0d2b70fbb143b501e48cb2dd4650d70da28655df#analytics,1056,days,1221,days,0,0.00,2.294787205693679,887.53
0x263b144dd2e01261b5ae1df7b46b340658698d9a,https://etherscan.io/address/0x263b144dd2e01261b5ae1df7b46b340658698d9a#analytics,506,days,2268,days,0,10752.49,23.855609129268633,21531.3
0x0d7127ac0c95c85d216d1dc69c2ef153c2a314c5,https://etherscan.io/address/0x0d7127ac0c95c85d216d1dc69c2ef153c2a314c5#analytics,444,days,1223,days,0,2.37,3.2693910149397705,1582.33
0xda615f91777d23381ea623091c14b5a7a07af061,https://etherscan.io/address/0xda615f91777d23381ea623091c14b5a7a07af061#analytics,72,days,2159,days,0,40.88,8.378444467555669,7355.27
0x7618912f9b98d18a7896042673f2c14a80e5af9e,https://etherscan.io/address/0x7618912f9b98d18a7896042673f2c14a80e5af9e#analytics,21,hrs,1272,days,0,827.56,9.007606741506908,3864.62
0xee7840dac7c3ec2ccde49517fd3952e349997ab5,https://etherscan.io/address/0xee7840dac7c3ec2ccde49517fd3952e349997ab5#analytics,23,days,2107,days,0,38.30,99.966387899,132969.18
0xf613098ce5cd8fce79466780a066310a9fbde8b3,https://etherscan.io/address/0xf613098ce5cd8fce79466780a066310a9fbde8b3#analytics,165,days,2124,days,0,672.40,4.2365384210373564,11654.34
0x057326bee5436d7929320a30bff29e49c05eede0,https://etherscan.io/address/0x057326bee5436d7929320a30bff29e49c05eede0#analytics,603,days,1281,days,0,1.66,16.934412864465564,4686.61
0x9157940c4a94bffdc16edd6b45e46ccfcbaf2c16,https://etherscan.io/address/0x9157940c4a94bffdc16edd6b45e46ccfcbaf2c16#analytics,799,days,1219,days,0,0.70,8.915123645393239,3788.66
0xda90ddbbdd4e0237c6889367c1556179c817680b,https://etherscan.io/address/0xda90ddbbdd4e0237c6889367c1556179c817680b#analytics,8,days,2048,days,0,20.09,5.046907882787985,8846.57
0x8788dc3b004e58238d3edeed3238bbd5e9cf3bc1,https://etherscan.io/address/0x8788dc3b004e58238d3edeed3238bbd5e9cf3bc1#analytics,855,days,1221,days,0,2.03,35.98694185528987,12242.4
0x00064e885741ed13a122c5a115999e05c71b8fca,https://etherscan.io/address/0x00064e885741ed13a122c5a115999e05c71b8fca#analytics,292,days,1228,days,0,65.07,30.72132398684134,51604.95
0x4d53a95e98234f5f732146de8f0536b007276dc7,https://etherscan.io/address/0x4d53a95e98234f5f732146de8f0536b007276dc7#analytics,1068,days,2295,days,0,140.31,33.75847407914423,33596.61
